"NOME ITA","NOME ENG","DESCRIZIONE ITA","DESCRIZIONE ENG","CATEGORIA","LATITUDINE (es. 46.281419)","LONGITUDINE (es. 11.523885)","VIA","CAP","LOCALITA'/CITTA'","CONTATTO NOME","CONTATTO TELEFONO","CONTATTO EMAIL","CONTATTO FAX","CONTATTO URL","ORARI ITA","ORARI ENG","SERVIZI ITA","SERVIZI ENG","PREZZI ITA","PREZZI ENG","TAG 1","TAG 2","TAG 3","TAG 4","TAG AGGIUNTIVI","CAPIENZA ITA","CAPIENZA ENG","STORIA ITA","STORIA ENG","CURIOSITA' ITA","CURIOSITA' ENG","COME ARRIVARE ITA","COME ARRIVARE ENG","ACCESSIBILITA' ITA","ACCESSIBILITA' ENG"
"Albergo Ristorante Turismo",,"Ristorante","Restaurant","Ristorante","46,0596","11,2372","Viale Venezia, 20",38057,"Pergine Valsugana",,"+39 (0461) 531073","info@hotelturismopergine.it",,"www.hotelturismopergine.it",,,,,,,,,,,,,,,,,,,,,
"Albergo Valcanover",,"Ristorante","Restaurant","Ristorante","46,0275861408122","11,2296581268311","Fraz. Valcanover, 73",38057,"Pergine Valsugana",,"+39 (0461) 548037","albergo.valcanover@virgilio.it",,,,,,,,,,,,,,,,,,,,,,,
"Alimentari Marta e Dobora Sodo",,"supermercato","supermarket","Alimentari","46,0634496494611","11,6334915161133","Piazza Marconi",38053,"Castello Tesino",,,,,,,,,,,,,,,,,,,,,,,,,,
"Alimentari Moranduzzo",,"supermercato","supermarket","Alimentari","46,0618416519288","11,6358518600464","Via Terrasanta",38053,"Castello Tesino",,,,,,,,,,,,,,,,,,,,,,,,,,
"All White Co'Te' Blanc",,"arredamenti",,"negozio","46,0605016182093","11,241717338562","Piazza Garbari, 12",38057,"Pergine Valsugana",,"+39 (0461) 534790",,,,,,,,,,,,,,"arredamento e architettura d'interni",,,,,,,,,,
"All'Oton",,"Paninoteca","Sandwich shop  ","birreria","46,0688762953666","11,2568879127502","Via de l'Oton,9 - Zivignago",38057,"Pergine Valsugana",,"+39 (0461) 532015",,,,"domenica chiuso",,,,,,"socializzare","divertimento",,,,,,,,,,,,,
"Alla Corte",,"Ristorante","Restaurant","Ristorante","46,0777111328917","11,206226348877","Via al Dos dela Roda, 41 - Cirè",38057,"Pergine Valsugana",,"+39 (0461) 531710",,,,"domenica chiuso",,,,,,,,,,,,,,,,,,,,
"Alla Stella",,"Ristorante Pizzeria ""cocceria""","Restaurant, pizzeria","Pizzeria","46,069680197538","11,2069988250732","Via La Svizzera, 41 - Roncogno",38057,"Pergine Valsugana",,"+39 (0461) 532715",,,,"domenica chiuso",,,,,,,,,,,,,,,,,,,,
"Alla Torre",,"Ristorante Pizzeria, Centro Benessere","Restaurant, pizzeria, wellness center","Pizzeria","45,9926907210768","11,2591302394867","Via della Villa, 37",38052,"Caldonazzo",,"+39 (0461) 723331","info@albergoallatorre.it",,"www.albergoallatorre.it","chiuso martedì",,,,,,,,,,,,,,,,,,,,
"Alles Market sas",,"Articoli igiene",,"igienici","46,0611790837658","11,2386810779572","Via Pennella,38",38057,"Pergine Valsugana",,"+39 (0461) 531131",,,,,,,,,,,,,,"articoli igiene",,,,,,,,,,
"Alpina",,"Tabacchi","smoke shop","Bar","46,0806284770847","11,2630677223206","Via della Predolcia, 25 - Viarago",38057,"Pergine Valsugana",,,,,,"mercoledì chiuso",,,,,,"socializzare",,,,,,,,,,,,,,
"Alpina",,"Ristorante Pizzeria","Restaurant, pizzeria","Pizzeria","46,0398312017746","11,4649200439453","Via Volpi - fraz. Olle",38051,"Borgo Valsugana",,,,,,"chiuso lunedì",,,,,,,,,,,,,,,,,,,,
"Alpina",,"Ristorante","Ristorante","Ristorante","46,064469512512","11,6322791576385","Via Municipio Vecchio, 9",38053,"Castello Tesino",,"+39 (0461) 594127","info@albergoalpina.com",,"www.albergoalpina.com",,,,,,,,,,,,,,,,,,,,,
"Alte Stube",,"Ristorante","Restaurant","Ristorante","46,0059048374363","11,6572880744934","Fraz. Palù, 16",38055,"Grigno",,"+39 (0461) 779605",,,,,,,,,,"cucina tipica",,,,,,,,,,,,,,
"Amico Mio di Deflorian Morena snc",,"animali",,"negozioanimali","46,0635687585263","11,231997013092","Viale Dante, 60",38057,"Pergine Valsugana",,"+39 (0461) 530914",,,,,,,,,,,,,,"tutto per animali",,,,,,,,,,
"Andreatta Sergio",,"ricambi elettronica e idraulica",,"negozio","46,062764767349","11,2429511547089","Via Battisti, 5",38057,"Pergine Valsugana",,"+39 (0461) 532442",,,,,,,,,,,,,,"ricambi elettronica e idraulica",,,,,,,,,,
"Angi",,"Ristorante","Restaurant","Ristorante","46,0471292783092","11,2332630157471","Via dell'Angi, 59 - Canale",38057,"Pergine Valsugana",,"+39 (0461) 538037",,,,"lunedì chiuso",,,,,,,,,,,,,,,,,,,,
"Animal Shopping di Magnago Mara & Spadin Livio",,"animali",,"negozioanimali","46,0591913315693","11,2371361255646","Viale Venezia, 28",38057,"Pergine Valsugana",,"+39 (0461) 533234",,,,,,,,,,,,,,"tutto per animali",,,,,,,,,,
"Antiche Contrade",,"Ristorante tipico, pizzeria","Typical Restaurant, Pizzeria","Pizzeria","46,0550369217671","11,2362670898438","Via al Lago, 11",38057,"Pergine Valsugana",,"+39 (0461) 538228","info@antichecontrade.com",,"www.antichecontrade.com","lunedì chiuso",,,,,,"cucina tipica",,,,"osteria tipica trentina, degustazioni, ecoristorazione trentina, senza glutine",,,,,,,,,,
"Aquila d'Oro",,"ristorante specialità pesce","Speciality seafood restaurant","Ristorante","45,9920273235372","11,2627029418945","Via Roma",38052,"Caldonazzo",,"+39 (0461) 723116","info@albergoaquiladoro.it",,"www.albergoaquiladoro.it",,,,,,,"pesce",,,,,,,,,,,,,,
"Aquilotto",,"Ristorante abruzzese","Restaurant specialty from Abruzzo","Ristorante","45,9920273235372","11,2627029418945","Viale Stazione, 4/a",38052,"Caldonazzo",,"+39 (0461) 718127","solaestenomariosnc@legalmail.it",,"www.albergoaquiladoro.it","chiuso mercoledì",,,,,,,,,,,,,,,,,,,,
"Arte Sella",,"Mostra internazionale di arte contemporanea collocata all'aperto nei prati e nei boschi della Val di Sella.","International exhibition of contemporary art, outdoors on the meadows and in the forests of Val di Sella, along a cultural-natural path.","Museo","46,0030431645636","11,3692188262939","Loc. Val di Sella",38051,"Borgo Valsugana",,"+39 (0461) 751251","artesella@yahoo.it",,"www.artesella.it","Novembre, dicembre, gennaio e febbraio: tutti i giorni dalle 10 alle 17 - Marzo, aprile, maggio, ottobre: tutti i giorni dalle 10 alle 18 - Giugno, luglio, agosto, settembre: tutti i giorni dalle 10 alle 19. - Chiuso il 25 dicembre.
",,,,"biglietto intero € 6
biglietto ridotto € 4",,"cultura","arte",,,,,,,,,,,,,
"Aurora L'Istciot",,"Ristorante","Restaurant","Ristorante","46,039786516704","11,3001251220703","Loc. Compet, 28",38050,"Vignola Falesina",,"+39 (0461) 706447","info@auroracompet.it",,"www.auroracompet.it",,,,,,,"cucina tipica",,,,,,,,,,,,,,
"Automobili Euroauto Prestige srl",,"autosalone",,"automoto","46,0627052119812","11,2349581718445","Viale Dante, 30",38057,"Pergine Valsugana",,"+39 (0461) 512211",,,,,,,,,,,,,,"autosalone",,,,,,,,,,
"Autopergine di De Mori Giuseppe",,"concessionaria",,"automoto","46,060799406291","11,2374687194824","Viale Venezia",38057,"Pergine Valsugana",,"+39 (0461) 531228",,,,,,,,,,,,,,"concessionaria",,,,,,,,,,
"Az. Agricola Busarello",,"Prodotti tipici del Tesino (radicchio, ""verde"")","Typical products (chicory, ""verde"" - similar to sauerkraut)","Prodotti tipici","46,0786786365809","11,5522313117981","Via del Canton Borgo, 37",38050,"Bieno",,"+39 (0461) 596330","info@agricolabusarello.com",,"www.agricolabusarello.com",,,,,,,,,,,,,,,,,,,,,
"Baita Al Verle",,"Ristorante","Restaurant","Ristorante","45,9584296347948","11,3272476196289","Via dei Forti, 4 - Passo Vezzena",38056,"Levico Terme",,"+39 (0461) 784050",,,,,,,,,,"cucina tipica",,,,,,,,,,,,,,
"Baitella Lino",,"restaurant","restaurant","Ristorante","46,0504056521342","11,2568235397339","Via per la Panarotta, 10 - Assizzi",38057,"Pergine Valsugana",,"+39 (0461) 511351",,,,"lunedì chiuso",,,,,,,,,,"ristorante",,,,,,,,,,
"Bancarella 3",,"abbigliamento",,"abbigliamento","46,0619458754105","11,2425971031189","Via Crivelli, 68",38057,"Pergine Valsugana",,"+39 (0461) 532833",,,,,,,,,,,,,,"abbigliamento",,,,,,,,,,
"Bandus Braci e Pizza",,"ristorante","Restaurant","Pizzeria","46,0041759277763","11,2884521484375","Via Claudia Augusta  ",38056,"Levico Terme",,"+39 (0461) 709082","evento.bandus@gmail.com",,"www.bandus.me",,,,,,,"carne",,,,,,,,,,,,,,
"Bar - One Rosso",,,,"Pizzeria","46,014250537803","11,2667798995972","Via Alberè, 28",38050,"Tenna",,"+39 (0461) 706448",,,,,,,,,,,,,,,,,,,,,,,,
"Bar 2000",,,,"Bar","46,059520767358","11,2392818927765","Via Verdi, 1",38057,"Pergine Valsugana",,,,,,"sabato pomeriggio chiuso",,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Adriano",,"tabacchi","smoke shop","Bar","46,009220913799","11,3093841075897","Piazza Medici, 10",38056,"Levico Terme",,"+39 (0461) 709922",,,,,,,,,,"socializzare",,,,,,,,,,,,,,
"Bar AGIP 2000",,"stazioneservizio","service station","stazioneservizio","46,0028344951262","11,2955760955811","Loc. Maines SS47",38056,"Levico Terme",,"+39 (0461) 700317",,,,,,,,,,,,,,"benzinaio, distributore",,,,,,,,,,
"Bar Al Conte",,,,"Bar","46,0114787127063","11,3021421432495","Via Regia, 8",38056,"Levico Terme",,"+39 (0461) 702302","info@alconte.eu",,"www.ristorantepizzeriaalconte.com",,,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Al Ponte",,"tabacchi","smoke shop","Bar","46,0719280840569","11,236664056778","Via al Ponte, 4 - Brazzaniga",38057,"Pergine Valsugana",,"+39 (0461) 531170",,,,,,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Al Ponte",,"Paninoteca, tabacchi","Sandwich shop, smoke shop","Bar","46,0713251830811","11,6217756271362","Loc. Molini",38053,"Castello Tesino",,"+39 (0461) 594444",,,,,,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Al Sole",,,,"Bar","46,0832033517091","11,2760496139526","Via per Mala - Fraz. Canezza",38057,"Pergine Valsugana",,"+39 (0461) 531358",,,,,,,,,,"socializzare",,,,"bar",,,,,,,,,,
"Bar Al Tastavin",,"Ristorante","Restaurant","Ristorante","46,0669483711555","11,6521596908569","Loc. Rodena",38053,"Castello Tesino",,"+39 (0461) 593168",,,,,,,,,,,,,,,,,,,,,,,,
"Bar Alexander",,"bar",,"Bar","46,0603341117075","11,2405747175217","Piazza Municipio, 4",38057,"Pergine Valsugana",,,,,,,,,,,,"socializzare",,,,"bar",,,,,,,,,,
"Bar Alpino",,,,"Bar","46,0127305218879","11,3028287887573","Viale Roma, 36",38056,"Levico Terme",,"+39 (0461) 706433",,,,,,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Alpino",,"Pasti veloci","Quick meals","Bar","46,0153681699111","11,6360878944397","Viale Trento, 29",38055,"Grigno",,"+39 (0461) 765110",,,,,,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Anderle Cristiana",,,,"Bar","46,0605872324473","11,2392604351044","Via Pennella, 11",38057,"Pergine Valsugana",,,,,,,,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Baltik",,,,"Bar","46,0718759817634","11,4721512794495","Piazza Municipio",38050,"Telve di Sopra",,,,,,"chiuso martedì",,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Bazar",,,,"Bar","46,0591764417697","11,2372541427612","Viale Venezia, 2/d",38057,"Pergine Valsugana",,"+39 (0461) 511052",,,,,,,,,,"socializzare",,,,"bar",,,,,,,,,,
"Bar bianco",,,,"Bar","46,060051210684","11,2398451566696","Via Roma, 24",38057,"Pergine Valsugana",,"+39 (0461) 510340",,,,"mercoledì chiuso",,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Bistrò 29",,"Pasti veloci","Quick meals","Bar","46,0529521539184","11,4583218097687","Via XX Settembre, 29",38051,"Borgo Valsugana",,,,,,"chiuso lunedì",,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Blue Coffeee",,,,"Bar","45,9926385440303","11,26296043396","Viale Stazione, 12/a",38052,"Caldonazzo",,,"barbluecoffee@gmail.com",,,"chiuso martedì",,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Bocciodromo",,,,"Bar","46,0522224665786","11,4530754089355","Via della Fossa",38051,"Borgo Valsugana",,"+39 (0461) 752775",,,,"chiuso lunedì",,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Brazzaniga",,,,"Bar","46,0733199414033","11,2392282485962","Via del Salesa Lonc, 8 - Brazzaniga",38057,"Pergine Valsugana",,,,,,"lunedì chiuso",,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Buffet Stazione FS",,"Pasti veloci","Quick meals","Bar","46,005964454047","11,3048458099365","Piazzale Stazione FS",38056,"Levico Terme",,"+39 (0461) 700416",,,,,,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Cacciatore di Carlin Sergio",,,,"Bar","46,0674098881008","11,2531328201294","Via Lagorai,14",38057,"Pergine Valsugana",,"+39 (0461) 532588",,,,,,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Caffè Pavesi",,"Pasti veloci","Quick meals","Bar","46,0512396071683","11,4636540412903","Via Gozzer, 9/b",38051,"Borgo Valsugana",,"+39 (388) 8334316",,,,"chiuso sabato",,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Campiello",,"Pasti Veloci","Quick meals","Bar","46,0194138092642","11,3570415973663","Via Maso San Desidero, 14",38056,"Levico Terme",,"+39 (0461) 721035",,,,,,,,,,"socializzare",,,,"tabacchi, edicola",,,,,,,,,,
"Bar Cantinota",,,,"Bar","46,0517757144695","11,4579892158508","Via Fratelli, 15",38051,"Borgo Valsugana",,"+39 (0461) 753225",,,,"chiuso sabato",,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Centrale",,,,"Bar","45,9918335205079","11,2626600265503","Via Roma, 5",38052,"Caldonazzo",,,,,,"chiuso lunedì",,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Centrale",,,,"Bar","46,0688018593881","11,6070771217346","Piazza Vaon",38050,"Pieve Tesino",,,,,,,,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Commercio",,,,"Bar","46,0624223231069","11,2427043914795","Via Battisti, 4",38057,"Pergine Valsugana",,"+39 (0461) 531107",,,,,,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Commercio",,"Tabacchi","smoke shop","Bar","46,1033516879063","11,211279630661","Via Pinetana, 21 - Nogarè",38057,"Pergine Valsugana",,,,,,,,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Cuba",,,,"Bar","46,0583426065843","11,2374472618103","Viale Venezia, 34",38057,"Pergine Valsugana",,"+39 (0461) 530301",,,,"mercoledì chiuso",,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Cusso",,,,"Bar","46,0538456354903","11,455682516098","Piazzale  Dante Alighieri",38051,"Borgo Valsugana",,"+39 (0461) 753029",,,,"chiuso martedì",,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Da Carlo (Bar Bianco)",,,,"Bar","46,053339331041","11,4580965042114","Via Fratelli, 1 ",38051,"Borgo Valsugana",,"+39 (0461) 752250",,,,"chiuso martedì",,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Da Toni",,,,"Bar","45,9905365135366","11,6682314872742","Via Don A. Gonzo, 1 - Fraz. Tezze",38055,"Grigno",,,,,,,,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Dal Pozzo Debora",,"bar",,"bar","46,0505098972021","11,2215042114258","Via alla Malga, 11",38057,"Pergine Valsugana",,"+39 (0461) 534897",,,,,,,,,,,,,,"bar",,,,,,,,,,
"Bar del Borgo",,,,"Bar","46,0533691137842","11,4565408229828","Piazza Degasperi, 6",38051,"Borgo Valsugana",,"+39 (0461) 594541",,,,"chiuso domenica",,,,,,"socializzare",,,,,,,,,,,,,,
"Bar del Corso",,,,"Bar","46,0546795385823","11,4599633216858","Corso Ausugum, 6",38051,"Borgo Valsugana",,"+39 (0461) 751214",,,,"chiuso domenica",,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Esso",,"stazioneservizio","service station","stazioneservizio","46,0552156124921","11,4701557159424","Viale Roma, 25",38051,"Borgo Valsugana",,,,,,"chiuso domenica",,,,,,,,,,,,,,,,,,,,
"Bar Figliezzi IP",,"stazioneservizio","service station","stazioneservizio","46,0684371216425","11,6255307197571","Loc. Figliezzi ",38053,"Castello Tesino",,"+39 (0461) 593303",,,,,,,,,,,,,,"ricambi auto, distributore, autolavaggio",,,,,,,,,,
"Bar Fina",,"stazioneservizio","service station","stazioneservizio","45,9966187660303","11,2588620185852","Viale Trento, 5",38052,"Caldonazzo",,"+39 (0461) 718074",,,,"chiuso domenica",,,,,,,,,,,,,,,,,,,,
"Bar Ideal",,,,"Bar","45,996574046025","11,2655353546143","Via D. Chiesa, 19/21",38052,"Caldonazzo",,,,,,"chiuso mercoledì",,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Imbiss Stube SNOOKY",,,,"Bar","45,9968274589106","11,266758441925","Viale Trento, 4",38052,"Caldonazzo",,"+39 (392) 6153325",,,,"chiuso martedì",,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Lino",,"Pasti veloci","Quick meals","Bar","46,0122909016533","11,2997817993164","Via Dante, 8",38056,"Levico Terme",,"+39 (0461) 707701",,,,,,,,,,"socializzare",,,,"pasticceria",,,,,,,,,,
"Bar Maso Al Vetriolo Vecchio",,"Ristorante","Restaurant","Ristorante","46,0413951564783","11,3098239898682","Loc. Vetriolo",38056,"Levico Terme",,"+39 (0461) 701564",,,,,,,,,,,,,,,,,,,,,,,,
"Bar Milano",,"Pasti veloci","Quick meals","Bar","46,0531978627917","11,4557898044586","Piazza Romani, 7",38051,"Borgo Valsugana",,"+39 (0461) 752175",,,,"chiuso domenica",,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Milano",,,,"Bar","46,0628094338327","11,6340708732605","Via Dante",38053,"Castello Tesino",,,,,,,,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Muttley",,,,"Bar","46,0781130210993","11,2056469917297","Via al Dos de la Roda, 44 - Cirè",38057,"Pergine Valsugana",,"+39 (0461) 533661",,,,,,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Oratorio",,,,"Bar","46,0625414343885","11,6332769393921","Via Venezia, 18",38053,"Castello Tesino",,,,,,,,,,,,"socializzare",,,,,,,,,,,,,,
"Bar Red Roses",,,,"Bar","46,0559303696104","11,2366533279419","Via al Lago, 27",38057,"Pergine Valsugana",,"+39 (0461) 504501",,,,"sabato chiuso",,,,,,"socializzare",,,,"bar",,,,,,,,,,
"Bar Ristorante Al Capriolo",,"Ristorante tipico","Typical restaurant","Ristorante","46,081298253724","11,2655353546143","Masi Alti, 11",38057,"Pergine Valsugana",,,,,,"lunedì chiuso",,,,,,,,,,,,,,,,,,,,
