"NOME ITA","NOME ENG","DESCRIZIONE ITA","DESCRIZIONE ENG","CATEGORIA","LATITUDINE (es. 46.281419)","LONGITUDINE (es. 11.523885)","VIA","CAP","LOCALITA'/CITTA'","CONTATTO NOME","CONTATTO TELEFONO","CONTATTO EMAIL","CONTATTO FAX","CONTATTO URL","ORARI ITA","ORARI ENG","SERVIZI ITA","SERVIZI ENG","PREZZI ITA","PREZZI ENG","TAG 1","TAG 2","TAG 3","TAG 4","TAG AGGIUNTIVI","CAPIENZA ITA","CAPIENZA ENG","STORIA ITA","STORIA ENG","CURIOSITA' ITA","CURIOSITA' ENG","COME ARRIVARE ITA","COME ARRIVARE ENG","ACCESSIBILITA' ITA","ACCESSIBILITA' ENG"
"AGRITUR RESS ",,"Azienda fruttivinicola zootecnica, possibilit&agrave; di pensione completa o mezza pensione, vendita diretta ortaggi e vino. L'azienda si estende per circa 3,8 ettari di superficie coltivata a frutteto e vigneto sui tipici terrazzamenti che caratterizzano la valle di Cembra. Offre l'ospitalit&agrave; in stanze con servizio di prima colazione, mezza pensione o pensione completa. Possibilit&agrave; di turismo equestre.",,"agriturismo","'46.160023","'11.173393",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AGRITUR SIMONI",,"Situato nel centro del paese, a circa 550 m. s.l.m., l'azienda offre la possibilit&agrave; di degustare piatti tipici, accompagnati dall'ottimo vino prodotto nella cantina storica dell'azienda. Offre anche alloggio con servizio di prima colazione o mezza pensione.",,"agriturismo","'46.1576","'11.1399",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AGRITUR SOGNO IN BAITA ",,"Caratteristica baita in montagna in pietra locale e legno. Immersa nel verde del vicino bosco e dei prati che la circondano. Sorge in posizione panoramica, sul versante sinistro dell'Altopiano di Pin&eacute;, alle pendici del monte Costalta. A 2 km di distanza dal centro abitato di Miola, &egrave; servita da strada asfaltata, sterrata in parte ma comoda da percorrere sia a piedi che in macchina. Ideale per famiglie, coppie e compagnie che desiderano tranquillit&agrave;, pace e mano passeggiare nel bosco, raccogliere funghi o dedicarsi all'escursionismo.",,"agriturismo","'46.1243","'11.2738",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AGRITURISMO DELLA GENS PAOLAZZI",,,,"Agriturismo","46.204703","11.23147","Loc. Ponciach, 7",38030,"FAVER",,"+39 0461 683424 ",,,,,,,,,,,,,,"Agritur",,,,,,,,,,
"Al Bivio",,,,"Bar","46.130073","'11.244584","Via C.Battisti, 28",38042,"BASELGA DI PINE'",,,,,,,,,,,,,,,,,,,,,,,,,,
"AL CAMINETTO",,,,"Ristorante","'46.1743","'11.2235","Via C. Battisti, 7/9",38034,"CEMBRA",,"+39 0461 683007","info@hotel-alcaminetto.it","+39 0461 016263","www.hotel-alcaminetto.it",,,,,,,,,,,,,,,,,,,,,
"AL LAGO",,,,"Ristorante","46.144035","'11.218902","Fr. Lases, Via Nazionale, 16",38040,"LONA-LASES",,"+39 0461 689207",,,,,,,,,,,,,,,,,,,,,,,,
"AL LIDO",,,,"Pizzeria","46.14042","11.25674","Via del Lido, 1",38042,"BASELGA DI PINE'",,"+39 0461 557670",,,,,,,,,,,,,,,,,,,,,,,,
"Al mas",,,,"garni","46.123084","11.259601","Fr. Miola, Via dei Prai, 35",38042,"BASELGA DI PINE'",,"+39 0461 557540",,,,,,,,,,,,,,,,,,,,,,,,
"ALBERGO  AL CAMINETTO",,"L'Hotel Garnì al Caminetto, da poco rinnovato, è ubicato in posizione centrale a Cembra, ridente capoluogo dell'omonima valle, a 677 metri di quota. Il complesso dispone di appartamenti e camere di diversa grandezza, per una vacanza veramente libera e confortevole, dotati di TV, telefono, cassaforte, garage, giardino. Tutt'intorno boschi verdissimi e vigneti terrazzati completano un paesaggio unico nel suo genere. La vite, data l'impervia natura dei versanti vallivi, si dispone su terrazzi sostenuti da muretti a secco che scendono dalle quote medio alte del Dossone di Cembra giù sino a lambire le fresche acque del torrente Avisio, in una spettacolare successione di contrafforti. Terra di vini pregiati ed aromatiche grappe, patria del Mùller Thurgau, la Valle di Cembra è meta ideale per escursionisti ed amanti dell'enogastronomia.",,"hotel","'46.1743","'11.2235",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ALBERGO 2 CAMINI",,"Piccolo chalet di montagna con annesso ristorante aderente all'osterie del Trentino Si possono trovare a: 200 mt. campi da tennis 800 mt. lago - noleggio barche - darsena con pedal&ograve; - stab. balneare 1 Km. pattinaggio ghiaccio - tiro con l'arco - pista da fondo 2 km. maneggio - campo calcio - laghetto pesca sportiva a 10 mt Centro estetico con: sauna, bagno turco, idromassaggio, solarium viso e corpo, massaggi, palestra.","Small mountain chalet with adjacent restaurant. In the surroundings you will find: 200m tennis courts, 800m lake, boot rental, harbor basin with pedalo boats, bathing beach 1km: ice rink, archery, cross-country trail 2km: horseback riding facilities, soccer field, sports fishing lake 10m: beauty center with sauna, steam bath, whirlpool, solarium, massages and gym","hotel","'46.1258","'11.2441",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Albergo al lago",,,,"Bar","'46.1969","'11.2055","LOCALITÀ LAGO SANTO, 1 Fraz. LAGO SANTO",38034,"CEMBRA",,"luciazeni@yahoo.it","+39 0461 683066",,,,,,,,,,,,,,,,,,,,,,,
"Albergo Alla Corona - Museo del Turismo Trentino",,"L'Albergo alla Corona di Montagnaga di Pine', Museo del Turismo Trentino, è uno dei primi esemplari in Trentino di costruzione destinata esclusivamente ad attività alberghiera. Fondato nel 1883, custodisce ancora oggi intatti arredi che vanno dall'Ottocento alla seconda metà del Novecento.","It is one of the first examples in Trentino of a building specifically planned as a hotel. It was set up in 1883 and was run by three generations of the Tommasini family. In 2007 it was turned into the Museo del Turismo Trentino (Trentino Tourist Museum). After the hotel had already opened for business in August 1886, it was decorated with many paintings by Alfredo Giuradelli. Some of these pay tribute to hotel guests of cultural significance such as the Prince-Bishop of Trento Eugenio Carlo Valussi and the European statesman Alcide De Gasperi.","Museo","'46.0986","'11.2358",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ALBERGO ANITA",,,,"Ristorante","46.133233","11.248433","VIA DEL FÒSCH, 21",38042,"BASELGA DI PINE'",,"+39 0461 557106","villanita@libero.it","+39 0461 558694","www.albergovillaanita.it",,,,,,,,,,,,,,,,,,,,,
"Albergo Comparsa",,,,"Bar","'46.094128","'11.2339","Fr. Montagnaga - FR. GUARDIA, 14",38042,"BASELGA DI PINE'",,"info@abergocomparsa.it","+39 0461 553050","www.albergocomparsa.it",,,,,,,,,,,,,,,,,,,,,,
"ALBERGO EUROPA",,"Le camere sono fornite di: Servizi- Televisione (con antenna satellitare)- Telefono- Balconcino- Cassetta di sicurezza- Connessione Internet wi-fi. L'hotel Europa offre un servizio bar,aperto 18 ore al giorno, con un'ampiascelta di: bibite, alcolici, superalcolici e gelati.La sala da pranzo offre più di 140 posti. Con piccoli tavoli per cene intime, ma anche con grandi tavoli per cerimonie.","Offers you the opportunity to spend a serene and calm holiday in a  family atmosphere . The HOTEL is a modern building which disposes  of 30 rooms all endowed with balcony, bathroom, telephone and  television. The structure also includes bar, lift, garden with games and  private parking. Free Internet wi-fi . Sauna and Home Fitness. The traditional and plain home-cooked weal are taken care personally  of by the owners. 
The HOTEL EUROPA lies in Cembra, which is now a new ""wine city"" in  the homonym valley. The valley is few chilometers away from Trento  and from the S.Michele a/A motorway exit. In summer the valley offers  you the opportunity to do healty walks through the sorrounding  countryside, the green wineyards and the fresh woods; and also  various excursions from Lago Santo to the typical earth Pyramids in  Segonzano. If you leave from HOTEL EUROPA, in one day you can reach  and visit the beauty spots of the area, from the Dolomities to Garda  Lake. Both in Winter and in summer, the valley of Cembra offers traditional entertaiments combined with the chance to try the varied local wines and dishes.","hotel","'46.1716","'11.2199",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ALBERGO ITALIA",,"Benvenuti all'hotel Italia di Baselga di Pine'. L'Hotel Italia, categoria 3 stelle, recentemente ristrutturato, dispone di 26 stanze per un totale di 63 posti letto, tutte dotate di servizi igienici con asciugacapelli, TV color, telefono, balcone, cassaforte; inoltre dispone di ascensore, sala TV separata, sala da pranzo con la capienza di 180 posti, terrazzo, giardino, garage coperto ed &egrave; accessibile ai portatori di handicap. La cucina, curata direttamente dai proprietari, propone un menù a scelta con piatti tipici regionali e nazionali; buffet per la prima colazione e buffet di verdure per pranzo e cena. L'Hotel è situato a Baselga di Pine' a 18 chilometri da Trento, in una zona tranquilla, nel centro del paese a pochi passi dal lago di Serraia e dal Centro Congressi Pine' 1000.","The hotel nestles in a quiet location in the town center, next to the Serraia lake. Pleasant walks, suitable for all ages, are the perfect opportunity to discover the beauty of unspoilt nature. The hosts themselves pamper guests with regional and Italian specialties, breakfast buffet and vegetable buffet","hotel","'46.1339","'11.2485","VIA C.BATTISTI, 96/98",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ALBERGO LAGORAI",,"Il fitto bosco di pini ed abeti che si specchia nei laghi di Serraia e Piazze, con la luce violacea del tramonto ed il silenzio a fare da cornice, è uno degli spettacoli più suggestivi che il Trentino possa offrire. Immerso in questo spettacolo, a Baselga di Pine', potrete trovare Hotel Lagorai. Una struttura recentemente rinnovata curando ogni minimo dettaglio, resa accogliente ed elegante, che saprà sempre mettervi a vostro agio. Hotel Lagorai dispone di 46 stanze ampie ed arredate con gusto, di un ristorante dalla cucina raffinata che può spaziare dalle specialità tipiche trentine ai piatti più classici della tradizione italiana e di una confortevole sala ricevimento per matrimoni. Chi ama una vacanza all'insegna del relax potrà farsi cullare dal silenzio della natura nel bel giardino con piscina, oppure prendersi cura del proprio corpo nel nuovissimo centro wellness. Per chi, invece, vacanza fa rima con movimento, non mancano le opportunità offerte dal territorio circostante: dal nordic walking nei tanti sentieri disponibili al pattinaggio nell'Ice Rink nel quale si allena la Nazionale Olimpica, dallo sci di fondo alle escursioni con le ciaspole e naturalmente le suggestive passeggiate attorno al lago. Inoltre, l'Hotel Lagorai offre anche una sala ricreativa, un pub ed una sala audiovisivi per soddisfare le esigenze di tutta la famiglia. Inoltre, Baselga di Pine' dista soltanto 22 chilometri da Trento, cità d'arte capace di mettere in mostra perle preziose come piazza del Duomo e Castel del Buonconsiglio e ha nelle vicinanze molti santuari, castelli e le suggestive piramidi di terra di Segonzano. L'Altopiano di Pine', il luogo delle emozioni, l'Hotel Lagorai ve le saprà far vivere al meglio... ",,"hotel","'46.1272","'11.2466",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ALBERGO MIRAMONTI ",,"Situato sull'Altopiano di Pine' a 1000 metri di altezza in riva al Lago di Piazze.L'albergo Miramonti a gestione familiare garantisce tranquillità e armonia abbinata a un'ottima cucina casalinga.Posto perfetto per escursioni in montagna e passeggiate in tranquillità sulle rive dei 2 laghi dell'Altopiano.L'albergo è posto di fronte alla fermata degli autobus di linea.","Our hotel is just 20 kms far from Trento. It's located by the Piazze Lake in a wonderful sunny position.
At Hotel Miramonti, run by Fam. Avi, you can taste our best dishes: the traditional gastronomy is our best way to welcome you.
In our quite and comfortable rooms you can spend your relaxing holiday.
There is a large public beach, with kids play area and lifeguard, directly opposite the hotel.
The area surrounding the hotel is full of paths along which guests can take relaxing walks into woods renowned for the quality of the porcini mushrooms that can be found there.","hotel","'46.1558","'11.2879","Via C.Cavour, 20",38043,"BEDOLLO",,"info@miramontipine.it","+39 0461 556626","www.miramontipine.it",,,,,,,,,,,,,,,,,,,,,,
"ALBERGO MONTECROCE",,,,"Bar","'46.1826","'11.3259","Fraz. Brusago, p.zza A.Rosmini, 8",38043,"BEDOLLO",,"hotelmontecroce@libero.it","+39 0461 556062","www.hotelmontecroce.it",,,,,,,,,,,,,,,,,,,,,,
"ALBERGO PINETA ",,,,"Bar","46.154753","'11.286777","Via C.Cavour, 17",38043,"BEDOLLO",,"info@infopineta.it","+39 0461 556058","www.infopineta.it",,,,,,,,,,,,,,,,,,,,,,
"ALBERGO PONCIACH",,"L'albergo Ponciach, ubicato a 3 km da Faver.Facilmente raggiungibile in una incantevole posizione, a 1000 metri di altezza, tra prati e boschi l'albergo Ponciach &egrave; ideale per soggiorni tranquilli e rilassanti.Ampie possibilit&agrave; di passeggiate ed escursioni a piedi o in mountain bike su sentieri segnati.Conduzione familiare, cortesia curata, cucina regionale e nazionale.L'albergo ha 20 stanze distribuite su due piani.Ampio parcheggio per vetture, sala TV a piano terra.",,"hotel","'46.2075","'11.2312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ALBERGO POSTA",,"L&acute;albergo &egrave; situato in collina, in una posizione soleggiata e tranquilla a 6 km da Trento. Dispone di moderne e confortevoli stanze con servizi indipendenti talune con balcone . Ampia sala da pranzo cucina familiare, pizzeria, bar sala TV. Il luogo &egrave; un&acute;ideale punto di partenza per numerose escursioni.",,"hotel","46.088844","11.180852","VIA ROMA, 28",38045,"CIVEZZANO",,"+39 0461 858525","katiamagnago@tiscali.it","+39 0461 858990","www.albergopostacivezzano.it",,,,,,,,,,,,,,,,,,,,,
"ALBERGO RISTORANTE ALLE PIRAMIDI (SEGONZANO)",,,,"hotel","46.187355","11.2584","FRAZIONE SCANCIO, 24",38047,"SEGONZANO",,"+39 0461 686106",,,,,,,,,,,,,,"Posti Telefonici Pubblici",,,,,,,,,,
"ALBERGO RISTORANTE LA SCARDOLA",,"Nelle vicinanze: a 1 km: laghetto pesca sportiva, tiro con l'arco a 1.5 km: pista da fondo a 2 km: maneggio, campo calcio",,"hotel","'46.1293","'11.2446","VIA DEL 26 MAGGIO, 1-3 Fraz. MIOLA",38042,"BASELGA DI PINE'",,"+39 0461 557647","info@ristorantelascardola.it","+39 0461 557647","www.ristorantelascardola.it",,,,,,,,,,,,,,,,,,,,,
"ALBERGO RITORANTE DUE LAGHI",,"Albergo Due Laghi nasce come moderna struttura ricettiva per anziani autosufficienti. Si tratta di una struttura con una attenzione e una cura particolari nei confronti dell'ospite anziano. Accanto ai normali comfort che contraddistinguono il servizio alberghiero si includono, infatti, l'assistenza infermieristica generica giornaliera e la supervisione medica settimanale. Le camere, come il resto della struttura, sono state da poco rinnovate. Sono ampie e luminose, hanno balcone, servizi privati, televisore, cassaforte, asciugacapelli e telefono. La maggior parte di esse si affaccia sul lago. Pensione completa dal pranzo del primo giorno fino alla colazione del giorno della partenza (bevande incluse e acqua minerale), cambio della biancheria da camera e da bagno due volte a settimana, visita medica di prima accoglienza con assistenza infermieristica giornaliera (misurazione pressione, glicemia, controllo dell';assunzione dei farmaci), chiamata d'emergenza diurna e notturna.","Holiday vacation elderly family lake montain children group","hotel","'46.1508","'11.273",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ALBERGO SAN GIORGIO",,,,"Ristorante","'46.1005","'11.235456","VIA BERNARDI, 2 Fraz. MONTAGNAGA",38042,"BASELGA DI PINE'",,"+39 0461 557756",,"+39 0461 557756",,,,,,,,,,,,,,,,,,,,,,
"ALBERGO SERRAIA",,"UN DOLCE"" BENVENUTO DALLA PASTICCERIA SERRAIA In splendida posizione panoramica sul Lago di Serraia in posizione centrale a Baselga di Pin&eacute; Nelle vicinanze: a 1 km: laghetto pesca sportiva a 1.5 km: maneggio a 2.5 km: campo calcio""",,"hotel","'46.1348","'11.2491",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Albiangomme",,,,"negozio","46.146529","11.202175","Via Roma n. 57",38041,"ALBIANO",,,,,,,,,,,,,,,,"Ricambio Gomme",,,,,,,,,,
"Alimentari da Sandro",,,,"Alimentari","46.230069","11.297689","Piazza Michei, 5",38030,"GRAUNO",,,,,,,,,,,,,,,,,,,,,,,,,,
"Alimentari di Betti Valerio",,,,"Alimentari","46.144245","11.193966","Via D.L.Albasini n.5",38041,"ALBIANO",,,,,,,,,,,,,,,,,,,,,,,,,,
"ALIMENTARI MATTIVI AOFELIA",,,,"Alimentari","46.154355","11.309748","Fraz. Regnana, Via A. Diaz, 7",38043,"BEDOLLO",,,,,,,,,,,,,,,,,,,,,,,,,,
"Alle piramidi",,,,"Bar","'46.187355","'11.2584","Fraz. Scancio, 24",38047,"SEGONZANO",,,,,,,,,,,,,,,,,,,,,,,,,,
"ALLE PIRAMIDI",,,,"Ristorante","'46.187355","'11.2584","FRAZIONE SCANCIO, 24 Fraz. SCANCIO",38047,"STEDRO",,"+39 0461 686106","info@piramidihotel.it ","+39 0461 686106","www.piramidihotel.it",,,,,,,,,,,,,,,,,,,,,
"Alpino",,,,"Bar","46.131895","11.243409","Corso Roma, 3",38042,"BASELGA DI PINE'",,,,,,,,,,,,,,,,,,,,,,,,,,
"Alpino",,,,"Bar","46.186779","'11.260677","Fraz. Stredro, 12",38047,"SEGONZANO",,,,,,,,,,,,,,,,,,,,,,,,,,
"ALPINO",,,,"Ristorante","46.131895","11.243409","Corso Roma, 3",38042,"BASELGA DI PINE'",,"+39 0461 557204",,,,,,,,,,,,,,,,,,,,,,,,
"ANDREATTA ANDREA (BASELGA DI PINE')",,,,"negozio","46.12559 ","'11.248925","VIA DEI BROILI, 6 Fraz. MIOLA",38042,"BASELGA DI PINE'",,"+39 347 2310133",,,,,,,,,,,,,,"Parrucchiere",,,,,,,,,,
"ANDREATTA CLAUDIA",,,,"Appartamento Vacanze","'46.1583","'11.2830","Loc. Cialini, Piazze di Bedollo",38043,,,"+39 349 3898105",,,,,,"<strong>DISTANZA DA SERVIZI&nbsp;</strong><br />pub <span class=Apple-tab-span"" style=""white-space: pre;"">",,,,,,,,,,,,,,,,,,
"ANDREATTA ESTER",,,,"Appartamento Vacanze","'46.1333992","'11.2530465","Via del Lido, 6",38042,,,"+39 0461 557046",,,,,,"<strong>&nbsp; &nbsp; &nbsp;DISTANZA DA SERVIZI&nbsp;</strong><br /><p>Supermercato &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp;<span style=white-space: pre;"" class=""Apple-tab-span"">",,,,,,,,,,,,,,,,,,
"ANDREATTA ONORINA",,,,"Appartamento Vacanze","'46.1494088","'11.2695905","Loc. Campolongo, 128",38042,,,"+39 0461 557184",,"+39 0461 558920",,,,"<p><strong>DISTANZA DA SERVIZI&nbsp;</strong><br />Supermercato 200 m<br />stazione/bus 50 m<br />discoteca/pub 200 m<br />parco per bambini 100 m<br />lago 100 m</p><p><strong>INFO APPARTAMENTO</strong><br />Secondo piano<br />40 mq<br />4 posti letto<br />casa con pi&ugrave; di 4 appartamenti<br />accesso attraverso parti comuni<br />ubicazione in centro abitato<br />arredo discreto<br />balcone di 5 mq</p><p></p>",,,,,,,,,,,,,,,,,,
"ANDREATTA ROMANO",,,,"Appartamento Vacanze","'46.157032","'11.2810","Fr. Piazze, Via Marconi, 89",38043,,,"+39 0461 556562 ","goldfish@gmail.it","+39 0461 557323 ",,,,"<strong>DISTANZA DA SERVIZI</strong>&nbsp;<br />ristorante 300 m<br />stazione/bus 200 m<br />supermercato 1 km<br />parco per bambini 200 m<br />lago 300 m<br /><br /><strong>INFO APPARTAMENTO </strong><span style=white-space: pre;"" class=""Apple-tab-span"">",,,,,,,,,,,,,,,,,,
"ANDREATTI PAOLA (BEDOLLO)",,,,"negozio","46.161211","'11.303042","VIA GIUSEPPE VERDI, 55 Fraz. CENTRALE",38043,"BEDOLLO",,"+39 0461 556822 / +39 0461 556070",,,,,,,,,,,,,,"Parrucchiere",,,,,,,,,,
"Anesi Alessandro",,,,"negozio","46.134068","11.247017","Corso Roma nr. 77",38042,"BASELGA DI PINE'",,,,,,,,,,,,,,,,"Panificio",,,,,,,,,,
"Anesi Alessandro",,,,"Bar","46.13239","'11.247135","Via C. Battisti nr. 63",38042,"BASELGA DI PINE'",,,,,,,,,,,,,,,,,,,,,,,,,,
"ANESI GRAZIELLA",,,,"Appartamento Vacanze","'46.1353","'11.2480","Fr. Ricaldo  - Via di Ricaldo, 14",38042,,,"+39 0461 557172","graziellaanesi@alice.it","+39 0461 557589",,,,"<strong>DISTANZA DA SERVIZI&nbsp;</strong><br />Supermercato<span style=white-space: pre;"" class=""Apple-tab-span"">                                50 m<br />Ristorante/pizzeria<span style=""white-space: pre;"" class=""Apple-tab-span"">",,,,,,,,,,,,,,,,,,
"ANESI MARIA",,,,"Appartamento Vacanze","'46.1275","'11.235","Fr.Tressilla, 46",38042,,,"+39 0461 557546",,,,,,"<strong>DISTANZA DA SERVIZ</strong>I&nbsp;<br />supermercato<span style=white-space: pre;"" class=""Apple-tab-span"">",,,,,,,,,,,,,,,,,,
"ANESI TULLIO",,,,"Appartamento Vacanze","'46.1299100","'11.2332869","Fr. Tressilla, 134",38042,,,"+39 0461 557485",,,,,,"<strong>DISTANZA DA SERVIZI&nbsp;</strong><br />Supermercato<span class=Apple-tab-span"" style=""white-space: pre;"">",,,,,,,,,,,,,,,,,,
"Anesin Germano",,,,"Alimentari","46.216482","11.326995","Piazza Alpina, 9",38048,"SOVER",,,,,,,,,,,,,,,,,,,,,,,,,,
"ANGEL PIZZA",,,,"Pizzeria","46.133304 ","'11.246379","Corso Roma, 48",38042,"BASELGA DI PINE'",,"+39 0461 557658 +39 349 5067537",,,,,,,,,,,,,,,,,,,,,,,,
"ANIMALSTORE",,,,"Negozio di animali","46.081499","11.196569","FRAZIONE MOCHENA,     5",38046,"CIVEZZANO",,,,,,,,,,,,,,,,"Negozio d'animali",,,,,,,,,,
"Antica Pieve di Santa Maria Assunta",,"Citata per la prima volta nel XIII secolo, la chiesa pare comunque essere molto più antica. Essa è stata più volte rimaneggiata e presenta ora elementi di stili diversi: dal romanico al gotico, dal rinascimentale al barocco.","Mentioned for the first time in the XIII century, it appears to be very ancient in any case. The church has been restored several times and now presents elements of different styles: from Romanic to gothic, from renaissance to baroque. The main altar is wooden baroque, sculpted and gold plated, whereas the altar-piece is by Pozzi.","luogoculto","'46.132722","'11.242666",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
