"NOME ITA","NOME ENG","DESCRIZIONE ITA","DESCRIZIONE ENG","CATEGORIA","GPS LATITUDINE","GPS LONGITUDINE","Via","CAP","Località/Città","CONTATTO NOME","CONTATTO TELEFONO","CONTATTO EMAIL","CONTATTO FAX","CONTATTO URL","ORARI ITA","ORARI ENG","SERVIZI ITA","SERVIZI ENG","PREZZI ITA","PREZZI ENG","TAG 1","TAG 2","TAG 3","TAG 4","CAPIENZA ITA","CAPIENZA ENG","STORIA ITA","STORIA ENG","CURIOSITA' ITA","CURIOSITA' ENG","COME ARRIVARE ITA","COME ARRIVARE ENG","ACCESSIBILITA' ITA","ACCESSIBILITA' ENG"
"AI VICOLI ","AI VICOLI ","RISTORANTE & WINEBAR","RISTORANTE & WINEBAR","Ristorante","46.069691","11.121088","Piazza Santa Teresa Verzieri ",38122,"Trento",,"(+39) 0461 260673","info@aivicoli.it",,"www.aivicoli.it",,,,,,,,,,,,,,,,,,,,
"ALLA MOSTRA","ALLA MOSTRA",,,"Ristorante","46.071188","11.125855","Piazza della Mostra, 13 ",38122,"Trento",,"(+39) 0461 230787",,"(+39) 0461 230787",,,,,,,,,,,,,,,,,,,,,
"AL MARINAIO ","AL MARINAIO ","ristorante prodotti tipici bar pasticceria","ristorante prodotti tipici bar pasticceria","Ristorante","46.033955","11.129333","Via dei Marinai d’Italia ",38123,"Trento",,"(+39) 0461 1734471/933053","info@almarinaio.eu ","(+39) 0461 933053","www.almarinaio.eu",,,,,,,,,,,,,,,,,,,,
"AMERICA – EL MERICAN","AMERICA – EL MERICAN",,,"Ristorante","46.070986","11.123430","Via Torre Verde, 50",38122,"Trento",,"(+39) 0461 983010","info@hotelamerica.it","(+39) 0461 230603","www.hotelamerica.it",,,,,,,,,,,,,,,,,,,,
"CHISTE’","CHISTE’","Ristorante pizzeria","Ristorante pizzeria","Ristorante","46.068883","11.121255","Via delle Orne, 4",38122,"Trento",,"(+39) 0461 262979",,,,,,,,,,,,,,,,,,,,,,,
"CLESIO c/o GRAND HOTEL TRENTO","CLESIO c/o GRAND HOTEL TRENTO",,,"Ristorante","46.070544","11.121636","Via Vittorio Alfieri, 1/3",38122,"Trento",,"(+39) 0461271000","reservation@grandhoteltrento.com",,"www.grandhoteltrento.com",,,,,,,,,,,,,,,,,,,,
"DOC","DOC","Ristorante pizzeria","Ristorante pizzeria","Ristorante","46.061719","11.129111","Via Milano, 148",38122,"Trento",,"(+39) 0461 262022","info@doctrento.it","(+39) 0461 223120","www.doctrento.it",,,,,,,,,,,,,,,,,,,,
"DUO","DUO","Ristorante & tapas bar; Strada del Vino","Ristorante & tapas bar; Strada del Vino","Ristorante","46.070127","11.119711","Via Torre Vanga, 14",38122,"Trento",,"(+39) 0461 1594461/1594462","contact@duoristorante.it",,"www.duoristorante.it",,,,,,,,,,,,,,,,,,,,
"EVEREST","EVEREST","Strada del Vino e dei Sapori","Strada del Vino e dei Sapori","Ristorante","46.078808","11.118280","Corso Alpini, 14",38121,"Trento",,"(+39) 0461 825300","info@hoteleverest.it","(+39) 0461 824527","www.hoteleverest.it",,,,,,,,,,,,,,,,,,,,
"FORST","FORST","Ristorante birreria","Ristorante birreria","Ristorante","46.068916","11.122541","Via Oss Mazzurana, 38",38122,"Trento",,"(+39) 0461 235590","incentro.group@gmail.com",,"www.nikys.it",,,,,,,,,,,,,,,,,,,,
"IL CAPPELLO","IL CAPPELLO","Ristorante Osteria","Ristorante Osteria","Ristorante","46.069691","11.121088","Piazzetta B. Lunelli, 5",38122,"Trento",,"(+39) 0461 235850","info@osteriailcappello.it","(+39) 0461 235850","www.osteriailcappello.it",,,,,,,,,,,,,,,,,,,,
"IL SIMPOSIO","IL SIMPOSIO",,,"Ristorante","46.067966","11.118869","Via Rosmini, 19",38122,"Trento",,"(+39) 0461 261848","ilsimposiotrento@gmail.com","(+39) 0461 261848","www.ilsimposio.net",,,,,,,,,,,,,,,,,,,,
"LOCANDA MARGON","LOCANDA MARGON","Strada del Vino e dei Sapori","Strada del Vino e dei Sapori","Ristorante","46.069691","11.121088","Via Margone, 15",38123,"Ravina - Trento",,"(+39) 0461 349401","contact@locandamargon.it","(+39) 0461 349080","www.locandamargon.it",,,,,,,,,,,,,,,,,,,,
"MOVER","MOVER","bar & restaurant","bar & restaurant","Ristorante","46.101533","11.101316","Via Innsbruck, 13",38122,"Trento",,"(+39) 0461 966899","info@quidhoteltrento.com",,"www.quidhoteltrento.com",,,,,,,,,,,,,,,,,,,,
"NIKY'S","NIKY'S","Strada del Vino e dei Sapori","Strada del Vino e dei Sapori","Ristorante","46.055005","11.120361","Via San Pio X, 29",38122,"Trento",,"(+39) 0461 390828","info@nikys.it",,"www.nikys.it",,,,,,,,,,,,,,,,,,,,
"OLYMPIC","OLYMPIC","HOTEL SPORTING TRENTO","HOTEL SPORTING TRENTO","Ristorante","46.057736","11.112491","Via R. da Sanseverino, 125",38123,"Trento",,"(+39) 0461 391215","info@hotelsportingtrento.com","(+39) 0461 392052","www.hotelsportingtrento.com",,,,,,,,,,,,,,,,,,,,
"ORSO GRIGIO","ORSO GRIGIO","RISTORANTE ANTICA TRATTORIA","RISTORANTE ANTICA TRATTORIA","Ristorante","46.065583","11.122052","Via degli Orti, 19",38122,"Trento",,"(+39) 0461 984400","info@orsogrigiotrento.com","(+39) 0461 980953","www.orsogrigiotrento.com",,,,,,,,,,,,,,,,,,,,
"OSTERIA DA GUIDO","OSTERIA DA GUIDO",,,"Ristorante","46.069413","11.126516","Parco San Marco (via livio marchetti 9?)",38122,"Trento",,"(+39) 0461 262418","info@osteriadaguido.com",,"www.osteriadaguido.com",,,,,,,,,,,,,,,,,,,,
"4 STAGIONI","4 STAGIONI","Ristorante pizzeria","Ristorante pizzeria","Ristorante","46.075252","11.137725","Via San Vito, 36",38122,"Trento",,"(+39) 0461 987031","quttrostagioni@virgilio.it ",,"www.quattrostagionisrl.it",,,,,,,,,,,,,,,,,,,,
"TORREFRANCA","TORREFRANCA","Ristorante pizzeria","Ristorante pizzeria","Ristorante","46.00625","11.136672","Via Pomeranos, 43",38122,"Trento",,"(+39) 0461 944511","torrefranca@interfree.it",,"www.ristorantetorrefranca.com",,,,,,,,,,,,,,,,,,,,
"ROSA D’ORO","ROSA D’ORO","Ristorante pizzeria","Ristorante pizzeria","Ristorante","46.069691","11.121088","Piazza S. Maria Maggiore, 21",38122,"Trento",,"(+39) 0461 261792",,"(+39) 0461 264177",,,,,,,,,,,,,,,,,,,,,
"SAPORI MEDITERRANEI","SAPORI MEDITERRANEI","Ristorante pizzeria","Ristorante pizzeria","Ristorante","46.065072","11.113966","Via Roberto da Sanseverino, 39/4",38122,"Trento",,"(+39) 0461 984360","sapori.mediterranei@hotmail.it",,,,,,,,,,,,,,,,,,,,,,
"TEX-MEX RESTAURANT CUEVA MAYA","TEX-MEX RESTAURANT CUEVA MAYA",,,"Ristorante","46.06745","11.120880","Piaza Duomo, 22",38122,"Trento",,"(+39) 0461 984507","trento@cuevamaya.it",,"www.cuevamaya.it/trento",,,,,,,,,,,,,,,,,,,,
"UVA E MENTA","UVA E MENTA","Ristorante pizzeria","Ristorante pizzeria","Ristorante","46.065422","11.123858","Via Dietro le Mura A, 35",38122,"Trento",,"(+39) 0461 1903162","uvaementa@yahoo.it","(+39) 0461 1903162",,,,,,,,,,,,,,,,,,,,,
"CHALET LO SCIATORE","CHALET LO SCIATORE","RESTAURANT CAFÉ","RESTAURANT CAFÉ","Ristorante",,,"Strada di Vason, 84",,"Vason",,"(+39) 340 7124107",,,,,,,,,,,,,,,,,,,,,,,
"MALGA BRIGOLINA","MALGA BRIGOLINA",,,"Ristorante",,,"Via della Brigolina, 6",,,,"(+39) 0461 947474 ",,,,,,,,,,,,,,,,,,,,,,,
"RIFUGIO VIOTE","RIFUGIO VIOTE",,,"Ristorante",,,"Località Viote, 6",,,,"(+39) 0461 948033 - 348 3590494",,,,,,,,,,,,,,,,,,,,,,,
"MALGA CANDRIAI","MALGA CANDRIAI",,,"Ristorante","46.046327","11.065047","Strada di Candriai, 4",,,,"(+39) 0461 947526",,,"www.malgacandriai.it",,,,,,,,,,,,,,,,,,,,
"NEVADA","NEVADA",,,"Ristorante",,,"Strada di Vason, 61",,,,"(+39) 0461 948117",,,"www.lorenzihotels.com",,,,,,,,,,,,,,,,,,,,
"IL GIARDINO DELLE SPEZIE","IL GIARDINO DELLE SPEZIE","Ristorante Pizzeria Bar Caffè","Ristorante Pizzeria Bar Caffè","Ristorante","46.058436","10.9809","Via Nazionale, 109",,"Padergnone",,"(+39) 0461 340122",,,"www.ilgiardinodellespezie.it",,,,,,,,,,,,,,,,,,,,
"LILLÀ","LILLÀ","Ristorante pizzeria","Ristorante pizzeria","Ristorante","46.097411","11.058247","Località Maso Travolt, 12",,"Terlago",,"(+39) 0461 866159",,,"www.ristorantepizzerialilla.com",,,,,,,,,,,,,,,,,,,,
